rating|OnlinePort|StreamNum|0|0|||||||
rating|OnlinePort|PortName|0|0|||||||
rating|OnlinePort|PortNumber|0|0|||||||
rating|PListConf|StartCharge|1|0|yes||||||
rating|PListConf|RatePlan|70|0|DATA10RP|DATA11RP|DATA12RP|DATA13RP|DATA16RP|DATA17RP|DATA18RP
rating|PListConf|Prior|13|0|10|20|30|35|40|50|60
rating|PListConf|PriceList|82|0|1CALLABROADLILA|1CALLABROADOPTIMI|1COMCALLABROAD|1COMMLILA|1COMMON|1COMMOPTIMI|1COMMROAMING
rating|PListConf|dTo|2|0|31/12/40|31/12/49|||||
rating|PListConf|dFrom|22|0|11/04/11|17/05/11|22/11/11|05/01/12|17/12/12|01/01/13|01/04/13
rating|PListConf|Brand|1|0|1||||||
rating|PLMN|CoName|211|0|AFGHANISTAN|ALBANIA|ALGERIA|AMERICAN SAMOA|ANDORRA|ANGOLA|ANGUILLA
rating|PLMN|CommName|358|0|A1 Telecom -AUT|Aeromobile|Africell -GMB|Aircell -IND|AIS -THA|AKTEL -BGD|Albtelecom -ALB
rating|PLMN|PrefToNor|4|0||044144444|ROAM1|ROAM4|||
rating|PLMN|PLMN|501|0|AAMOW|AFGAW|AGOUT|ALBAM|ALBK9|ALBM1|ALBVF
rating|PLMN|CountryPrefix|214|0|044144444|1|1242|1264|127|1284|1340
rating|PLMN|Country|210|0||AD|AE|AF|AI|AL|AM
rating|PriceList|AutoCreate|1|0|||||||
rating|PriceList|Brand|1|0|1||||||
rating|PriceList|Currency|1|0|EUR||||||
rating|PriceList|Rounding|1|0|6||||||
rating|PriceList|CustNum|1|0|0||||||
rating|PriceList|DedicList|1|0|no||||||
rating|PriceList|InclVAT|2|0|no|yes|||||
rating|PriceList|Memo|77|0|All prices are free of charge|Common price list for common prices valid for Äly subscr.|Data 6 specific prices|Data 8 specific prices|DATA10 specific price list|DATA11 specific price list|DATA12 specific price list
rating|PriceList|PLName|78|0|Call abroad LILA Price list|Call abroad OPTIMI Price list|Common Calls abroad Price list|Common Feemodel Price list|Common LILA Price list|Common Price list|Common Price List for Äly
rating|PriceList|Prefix|1|0|MOB||||||
rating|PriceList|PriceList|79|0|1CALLABROADLILA|1CALLABROADOPTIMI|1COMCALLABROAD|1COMMLILA|1COMMON|1COMMOPTIMI|1COMMROAMING
rating|PriceList|CurrUnit|1|0|yes||||||
rating|ProgLimit|ValidFrom|0|0|||||||
rating|ProgLimit|SLSeq|0|0|||||||
rating|ProgLimit|LimitTo|0|0|||||||
rating|ProgLimit|LimitFrom|0|0|||||||
rating|ProgLimit|GroupCode|0|0|||||||
rating|ProgLimit|ValidTo|0|0|||||||
rating|ProgLimit|BDest|0|0|||||||
rating|RatePlan|Brand|1|0|1||||||
rating|RatePlan|Memo|1|0|||||||
rating|RatePlan|PNPRatePlan|1|0|||||||
rating|RatePlan|RatePlan|67|0|DATA10RP|DATA11RP|DATA12RP|DATA13RP|DATA16RP|DATA17RP|DATA18RP
rating|RatePlan|RPName|67|0|Data 10 Rate plan|DATA11 Rate plan|DATA12 Rate Plan|DATA13 Rate Plan|DATA16 Rate plan|DATA17 Rate plan|DATA18 Rate plan
rating|RepLog|TableName|0|0|||||||
rating|RepLog|EventTimeStamp|0|0|||||||
rating|RepLog|EventType|0|0|||||||
rating|RepLog|KeyValue|0|0|||||||
rating|RepLog|RowID|0|0|||||||
rating|RerateLog|ErrorCode|12|0|0|1000|1001|1004|2001|3002|3004
rating|RerateLog|Ended|1058|0|0|20131030.70882|20140411.49589|20140415.35186|20140415.36105|20140415.40158|20140415.40491
rating|RerateLog|CLI|8|0||01150005|0123000731|0123003401|0123080346|0123081424|0413100128
rating|RerateLog|PeriodEnd|138|0|30/09/13|31/01/14|28/02/14|31/03/14|11/04/14|15/04/14|16/04/14
rating|RerateLog|ChangedQty|161|0|0|1|2|3|4|5|6
rating|RerateLog|EventSource|4|0|CLI|ERROR|TRIGGER|UI|||
rating|RerateLog|InvCust|21|0|0|1|1253|1291|1293|1364|1420
rating|RerateLog|MsSeq|1|0|0||||||
rating|RerateLog|PeriodBegin|35|0|01/09/13|01/11/13|01/01/14|01/02/14|01/03/14|01/06/14|01/08/14
rating|RerateLog|Started|1111|0|20131030.70882|20140411.49573|20140415.35186|20140415.36104|20140415.40157|20140415.4049|20140416.42641
rating|RerateLog|StartDate|149|0|30/10/13|11/04/14|15/04/14|16/04/14|13/06/14|19/08/14|31/10/14
rating|RoamBDest|TZFrom|0|0|||||||
rating|RoamBDest|TZTo|0|0|||||||
rating|RoamBDest|TariffNum|0|0|||||||
rating|RoamBDest|Tariff|0|0|||||||
rating|RoamBDest|BDest|0|0|||||||
rating|RoamCountry|CountryName|0|0|||||||
rating|RoamCountry|RateZone|0|0|||||||
rating|RoamCountry|Prefix|0|0|||||||
rating|RoamGroup|Name|0|0|||||||
rating|RoamGroup|RoamGroup|0|0|||||||
rating|RoamTariff|PriceList|0|0|||||||
rating|RoamTariff|RateType|0|0|||||||
rating|RoamTariff|RoamGroup|0|0|||||||
rating|RoamTariff|RoamingType|0|0|||||||
rating|RoamTariff|Service|0|0|||||||
rating|RoamTariff|Tariff|0|0|||||||
rating|RoamTariff|TariffNum|0|0|||||||
rating|RoamTariff|ValidFrom|0|0|||||||
rating|RoamTariff|ValidTo|0|0|||||||
rating|RoamZone|RoamZone|12|0|ASPA|ROAM1|ROAM2|ROAM3|ROAM4|ROAM5|ROAM6
rating|RoamZone|RZName|12|0|Bahama, Kap Verde /Group7:Asia|Benin / Group8|DNA-ASPA|EU / Group1: Baltic Sea|Eurooppa1 / Group2: EU|Eurooppa2 / Group3: W-europe|Lentokoneet /  Cape Verde
rating|RZBDest|RoamZone|12|0|ASPA|ROAM1|ROAM2|ROAM3|ROAM4|ROAM5|ROAM6
rating|RZBDest|BDest|123|0|ASPA-ROAM1|ROAM1-ASPA|ROAM1-ROAM1|ROAM1-ROAM2|ROAM1-ROAM3|ROAM1-ROAM4|ROAM1-ROAM5
rating|RZBDest|ValidTo|3|0|31/12/40|30/12/49|31/12/49||||
rating|RZBDest|ValidFrom|2|0|01/01/11|01/01/13|||||
rating|RZBDest|RoamZone2|12|0|ASPA|ROAM1|ROAM2|ROAM3|ROAM4|ROAM5|ROAM6
